"TIME","Pout=(Vout*Iout)"
8.395458336e-005,1.25763
8.395681387e-005,1.25801
8.395919221e-005,1.25841
8.39719818e-005,1.2606
8.398859378e-005,1.26345
8.404638202e-005,1.27337
8.414779144e-005,1.29082
8.435187472e-005,1.3261
8.468053745e-005,1.38336
8.505333304e-005,1.44893
8.535306887e-005,1.50208
8.589906663e-005,1.59979
8.696200232e-005,1.79266
8.769735257e-005,1.92756
8.774501376e-005,1.93633
8.775619308e-005,1.93839
8.780957017e-005,1.94822
8.782155804e-005,1.95042
8.789093478e-005,1.9632
8.790230832e-005,1.9653
8.792956594e-005,1.97032
8.793893974e-005,1.97205
8.794145324e-005,1.97251
8.794462373e-005,1.9731
8.794845501e-005,1.9738
8.797801349e-005,1.97926
8.81746921e-005,2.01601
8.846400516e-005,2.0714
8.879541576e-005,2.13681
8.935234583e-005,2.25156
8.982853085e-005,2.3546
9.056165909e-005,2.52236
9.184985213e-005,2.84503
9.374520154e-005,3.38836
9.381780849e-005,3.41089
9.383072518e-005,3.41491
9.388953706e-005,3.43327
9.390249057e-005,3.43732
9.394263818e-005,3.44992
9.395156586e-005,3.45272
9.395509174e-005,3.45383
9.395737784e-005,3.45455
9.396087311e-005,3.45565
9.398040384e-005,3.4618
9.399887006e-005,3.46761
9.409071864e-005,3.49652
9.42381801e-005,3.54296
9.452301223e-005,3.63272
9.499133733e-005,3.78036
9.527533337e-005,3.86986
9.572894637e-005,4.01266
9.663054687e-005,4.29539
9.770345599e-005,4.6286
9.774854868e-005,4.6425
9.775765887e-005,4.64531
9.781115918e-005,4.66179
9.782601735e-005,4.66636
9.788872732e-005,4.68566
9.789963671e-005,4.68901
9.791711452e-005,4.69438
9.794079982e-005,4.70166
9.794107666e-005,4.70175
9.794110914e-005,4.70176
9.794140455e-005,4.70185
9.794452817e-005,4.70281
9.794846655e-005,4.70402
9.798238915e-005,4.71446
9.828236311e-005,4.80793
9.874207307e-005,4.95509
9.949133502e-005,5.20524
0.0001000923758,5.41531
0.0001011025416,5.78761
0.0001028298625,6.48158
0.0001038048396,6.90637
0.0001038282435,6.91686
0.0001038831108,6.94152
0.0001039041887,6.95102
0.000103944667,6.96928
0.0001039536597,6.97334
0.0001039577312,6.97518
0.0001039600181,6.97622
0.0001039634427,6.97777
0.0001039802159,6.98535
0.000103991062,6.99025
0.0001040843907,7.03241
0.0001042037682,7.08624
0.0001044542408,7.19883
0.0001048590152,7.37966
0.0001054105124,7.62362
0.0001059522632,7.86029
0.0001070357648,8.32359
0.0001077103764,8.6045
0.000107749609,8.62065
0.0001077574418,8.62387
0.0001078086466,8.6449
0.0001078159683,8.64791
0.0001078924287,8.67924
0.0001079037021,8.68385
0.0001079331574,8.69589
0.0001079404429,8.69887
0.0001079412791,8.69921
0.0001079413144,8.69922
0.000107941681,8.69937
0.0001079448981,8.70069
0.0001079491464,8.70242
0.0001079931997,8.72045
0.000108396515,8.88755
0.0001089370845,9.11727
0.0001096080621,9.41165
0.0001102158611,9.68721
0.0001111976584,10.1503
0.0001130360441,11.0776
0.0001137891687,11.4806
0.0001138218531,11.4984
0.0001138342894,11.5051
0.000113892449,11.5369
0.000113905535,11.544
0.0001139463274,11.5663
0.0001139556805,11.5715
0.0001139587992,11.5732
0.0001139610897,11.5744
0.0001139654408,11.5768
0.0001139813773,11.5855
0.0001140287402,11.6115
0.0001141335864,11.6687
0.0001143461725,11.7841
0.0001148181072,12.0371
0.0001153246479,12.3035
0.0001158429473,12.5704
0.0001168169801,13.0556
0.0001177223424,13.4861
0.0001177512891,13.4996
0.0001177653923,13.5061
0.0001178123838,13.5278
0.0001178422651,13.5416
0.0001178931796,13.5651
0.0001179041899,13.5701
0.000117933229,13.5835
0.00011793633,13.5849
0.0001179421908,13.5876
0.0001179449486,13.5888
0.0001179487837,13.5906
0.0001179720539,13.6013
0.0001183450217,13.774
0.0001190931262,14.1291
0.0001204016602,14.7774
0.0001217673787,15.491
0.000123807088,16.6265
0.0001238233009,16.6358
0.0001238720835,16.664
0.0001238947884,16.6772
0.0001239259685,16.6952
0.0001239458248,16.7067
0.0001239538342,16.7114
0.0001239560872,16.7127
0.000123958517,16.7141
0.0001239730521,16.7225
0.0001239798192,16.7265
0.0001240669327,16.7768
0.0001241790742,16.8414
0.0001244622445,17.0025
0.0001248746693,17.2325
0.0001254484959,17.5433
0.000126029952,17.8469
0.0001271928643,18.419
0.0001277164878,18.6608
0.0001277519079,18.6768
0.0001277768785,18.688
0.0001278128403,18.7042
0.0001278689516,18.7293
0.0001278949276,18.7409
0.000127906357,18.746
0.0001279347574,18.7587
0.0001279415271,18.7617
0.0001279437336,18.7626
0.0001279464275,18.7638
0.0001279607795,18.7702
0.0001282360006,18.8932
0.000128989904,19.2369
0.0001297613348,19.5986
0.0001304711795,19.9405
0.0001317178287,20.5613
0.000133807088,21.6589
